62, 0.868809, 3.270309, 273.742310, 155.411713, 371.499512
56, 0.858376, 293.499878, 324.450012, 354.096069, 425.046631
62, 0.744834, 556.640137, 316.625732, 640.000000, 400.177002
75, 0.693740, 551.591919, 402.274506, 587.404053, 508.172760
56, 0.668035, 360.864441, 325.568298, 420.091125, 413.318268
72, 0.642134, 437.581635, 274.582031, 515.278442, 398.516663
0, 0.629924, 414.342468, 262.913574, 466.487488, 406.009766
58, 0.584951, 229.308197, 283.913116, 265.917908, 319.417999
58, 0.560788, 336.685059, 281.874237, 367.898193, 334.518951
56, 0.506153, 402.864716, 327.408478, 443.335602, 413.735931
